num_detectors,detector_size,overlap_threshold,min_activations,detectors_generated,attempts_used,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc
500,3,1,1,500,53011,0.9820224719101124,0.9242424242424242,0.953125,0.9384615384615383,0.9740608595800525,0.9422909353757474
500,3,1,2,500,53011,0.9707865168539326,0.9322033898305084,0.859375,0.8943089430894309,0.9740608595800525,0.9422909353757474
500,3,2,1,500,527,0.8539325842696629,0.4,0.03125,0.057971014492753624,0.5116879921259843,0.15182584269662924
500,3,2,2,500,527,0.8561797752808988,0.0,0.0,0.0,0.5116879921259843,0.15182584269662924
500,3,3,1,500,500,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
500,3,3,2,500,500,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
500,4,1,1,114,60000,0.9640449438202248,0.9,0.84375,0.870967741935484,0.9191067913385826,0.8480833231558378
500,4,1,2,114,60000,0.9550561797752809,0.9782608695652174,0.703125,0.8181818181818182,0.9191067913385826,0.8480833231558378
500,4,2,1,500,546,0.8539325842696629,0.4,0.03125,0.057971014492753624,0.5116879921259843,0.15182584269662924
500,4,2,2,500,546,0.8561797752808988,0.0,0.0,0.0,0.5116879921259843,0.15182584269662924
500,4,3,1,500,500,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
500,4,3,2,500,500,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
500,5,1,1,21,60000,0.9123595505617977,0.9629629629629629,0.40625,0.5714285714285714,0.7021202427821522,0.4852775176862255
500,5,1,2,21,60000,0.8898876404494382,1.0,0.234375,0.379746835443038,0.7021202427821522,0.4852775176862255
500,5,2,1,500,572,0.8584269662921349,0.5454545454545454,0.09375,0.16,0.5401902887139107,0.18147344228804901
500,5,2,2,500,572,0.8539325842696629,0.0,0.0,0.0,0.5401902887139107,0.18147344228804901
500,5,3,1,500,500,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
500,5,3,2,500,500,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
1000,3,1,1,568,60000,0.9820224719101124,0.9242424242424242,0.953125,0.9384615384615383,0.9745119750656168,0.9459988788362461
1000,3,1,2,568,60000,0.9752808988764045,0.9206349206349206,0.90625,0.9133858267716536,0.9745119750656168,0.9459988788362461
1000,3,2,1,1000,1047,0.8539325842696629,0.4444444444444444,0.0625,0.1095890410958904,0.5246883202099738,0.1626092384519351
1000,3,2,2,1000,1047,0.8561797752808988,0.0,0.0,0.0,0.5246883202099738,0.1626092384519351
1000,3,3,1,1000,1000,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
1000,3,3,2,1000,1000,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
1000,4,1,1,114,60000,0.9640449438202248,0.9,0.84375,0.870967741935484,0.9191067913385826,0.8480833231558378
1000,4,1,2,114,60000,0.9550561797752809,0.9782608695652174,0.703125,0.8181818181818182,0.9191067913385826,0.8480833231558378
1000,4,2,1,1000,1093,0.8449438202247191,0.2727272727272727,0.046875,0.08,0.512938812335958,0.14986274259448418
1000,4,2,2,1000,1093,0.8561797752808988,0.0,0.0,0.0,0.512938812335958,0.14986274259448418
1000,4,3,1,1000,1000,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
1000,4,3,2,1000,1000,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
1000,5,1,1,21,60000,0.9123595505617977,0.9629629629629629,0.40625,0.5714285714285714,0.7021202427821522,0.4852775176862255
1000,5,1,2,21,60000,0.8898876404494382,1.0,0.234375,0.379746835443038,0.7021202427821522,0.4852775176862255
1000,5,2,1,1000,1138,0.849438202247191,0.42105263157894735,0.125,0.1927710843373494,0.547736220472441,0.1784742755765819
1000,5,2,2,1000,1138,0.851685393258427,0.0,0.0,0.0,0.547736220472441,0.1784742755765819
1000,5,3,1,1000,1001,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
1000,5,3,2,1000,1001,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
2000,3,1,1,568,60000,0.9820224719101124,0.9242424242424242,0.953125,0.9384615384615383,0.9745119750656168,0.9459988788362461
2000,3,1,2,568,60000,0.9752808988764045,0.9206349206349206,0.90625,0.9133858267716536,0.9745119750656168,0.9459988788362461
2000,3,2,1,2000,2110,0.8471910112359551,0.3333333333333333,0.0625,0.10526315789473684,0.520751312335958,0.15566479400749067
2000,3,2,2,2000,2110,0.8561797752808988,0.0,0.0,0.0,0.520751312335958,0.15566479400749067
2000,3,3,1,2000,2000,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
2000,3,3,2,2000,2000,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
2000,4,1,1,114,60000,0.9640449438202248,0.9,0.84375,0.870967741935484,0.9191067913385826,0.8480833231558378
2000,4,1,2,114,60000,0.9550561797752809,0.9782608695652174,0.703125,0.8181818181818182,0.9191067913385826,0.8480833231558378
2000,4,2,1,2000,2195,0.8337078651685393,0.1875,0.046875,0.075,0.5063156167979003,0.14586771418539327
2000,4,2,2,2000,2195,0.8539325842696629,0.0,0.0,0.0,0.5063156167979003,0.14586771418539327
2000,4,3,1,2000,2002,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
2000,4,3,2,2000,2002,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
2000,5,1,1,21,60000,0.9123595505617977,0.9629629629629629,0.40625,0.5714285714285714,0.7021202427821522,0.4852775176862255
2000,5,1,2,21,60000,0.8898876404494382,1.0,0.234375,0.379746835443038,0.7021202427821522,0.4852775176862255
2000,5,2,1,2000,2316,0.8382022471910112,0.36666666666666664,0.171875,0.23404255319148934,0.5602239173228346,0.17899695692883896
2000,5,2,2,2000,2316,0.8471910112359551,0.16666666666666666,0.015625,0.02857142857142857,0.5602239173228346,0.17899695692883896
2000,5,3,1,2000,2002,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
2000,5,3,2,2000,2002,0.8561797752808988,0.0,0.0,0.0,0.5,0.14382022471910114
